prompt,expected
"حوّل إلى المبني للمجهول: يطبخ الطباخ الطبق.","يُطهى الطبق بواسطة الطباخ."
"المبني للمجهول (الماضي): بنَت الشركة الجسر.","بُني الجسر بواسطة الشركة."
"حول للمبني للمعلوم: غُنيت الأغنية بواسطةها.","هي غنت الأغنية."
"المبني للمجهول (المستقبل): سينهيون المشروع.","سيُنجز المشروع بواسطةهم."
"حول للمجهول: يتكلم الناس الإنجليزية في أنحاء العالم.","تُتحدث الإنجليزية في أنحاء العالم."
"المعلوم: كُتِبَ الرسالة بواسطة علي.","علي كتب الرسالة."
"المبني للمجهول (الماضي التام): سرق أحدهم دراجتي.","لقد سُرِقت دراجتي."
"المعلوم: خَبزَت أمي الكعكة.","أمي خبزت الكعكة."
"المبني للمجهول البسيط: يوافق المجلس على الخطة.","تُوافق الخطة من قبل المجلس."
"المعلوم: وُجِد حل بواسطة الفريق.","الفريق وجد حلًا."
