prompt,expected
"Convert to past tense: I eat an apple.","I ate an apple."
"Convert to past tense: She goes to school.","She went to school."
"Convert to present continuous: They play football.","They are playing football."
"Convert to present perfect: He finish his work.","He has finished his work."
"Convert to future: I will go tomorrow.","I will go tomorrow."
"Make negative (past): She ate the cake.","She did not eat the cake."
"Make question (present): You like tea.","Do you like tea?"
"Change to past continuous: I read a book.","I was reading a book."
"Convert to present simple: He (to be) a teacher.","He is a teacher."
"Convert to past perfect: They arrive at 9.","They had arrived at 9."
