prompt,expected
"حوّل إلى الماضي: أنا آكل التفاحة.","أكلت التفاحة."
"حوّل إلى الماضي: هي تذهب إلى المدرسة.","ذهبت إلى المدرسة."
"حوّل إلى المضارع المستمر: هم يلعبون كرة القدم.","هم يلعبون كرة القدم." 
"حوّل إلى الماضي التام: انتهى هو من عمله.","لقد أنهى عمله."
"اجعلها نفي في الماضي: هي أكلت الكعكة.","هي لم تأكل الكعكة."
"اجعل سؤالًا: أنت تحب الشاي.","هل تحب الشاي؟"
"غير إلى المضارع البسيط: هو (كان) معلم.","هو معلم."
"حوّل إلى الماضي المستمر: أنا أقرأ كتابًا.","كنت أقرأ كتابًا."
"حوّل إلى المستقبل: سأذهب غدًا.","سأذهب غدًا."
"حوّل إلى المضارع التام: وصلوا الساعة ٩.","لقد وصلوا الساعة ٩."
