prompt,expected
"املأ حرف الجر: وصلتُ ___ المحطة.","وصلتُ إلى المحطة."
"اختر حرف الجر: الكتاب ___ الطاولة.","الكتاب على الطاولة."
"املأ: سار عبر الحديقة ___ شروق الشمس.","سار عبر الحديقة عند شروق الشمس."
"استخدم: سأقابلك ___ الإثنين.","سأقابلك يوم الإثنين."
"اختر: يعيشون ___ القاهرة.","يعيشون في القاهرة."
"املأ: القطة قفزت ___ الصندوق.","القطة قفزت داخل الصندوق."
"استخدم حرف الجر: هي ماهرة ___ الرسم.","هي ماهرة في الرسم."
"ضع: ضعها ___ الرف.","ضعها على الرف."
"اختر: جاء بواسطة ___ السيارة.","جاء بواسطة السيارة."
"املأ: الصورة معلقة ___ الحائط.","الصورة معلقة على الحائط."
