prompt,expected
"Fill preposition: She arrived ___ the station.","She arrived at the station."
"Choose preposition: The book is ___ the table.","The book is on the table."
"Fill: He walked ___ the park.","He walked through the park."
"Use: I will meet you ___ Monday.","I will meet you on Monday."
"Choose: They live ___ London.","They live in London."
"Fill: The cat jumped ___ the box.","The cat jumped into the box."
"Use preposition: She is good ___ painting.","She is good at painting."
"Fill: Please put it ___ the shelf.","Please put it on the shelf."
"Choose: He came ___ a car.","He came by car."
"Fill: The picture hangs ___ the wall.","The picture hangs on the wall."
